,0,1,2,3
msfem.Elliptic_MsFEM_Solver.apply_max_wall_speedup,1.0,1.933,3.893,7.548
msfem.Elliptic_MsFEM_Solver.apply_max_wall_parallel_efficiency,1.0,0.9665,0.97325,0.9435
msfem.Elliptic_MsFEM_Solver.apply_max_wall_abspart,0.798,0.674,0.453,0.209
msfem.Elliptic_MsFEM_Solver.apply_max_wall_wallpart,0.798,0.674,0.453,0.209
msfem.Elliptic_MsFEM_Solver.apply_avg_wall_speedup,1.0,1.931,3.924,7.642
msfem.Elliptic_MsFEM_Solver.apply_avg_wall_parallel_efficiency,1.0,0.9655,0.981,0.95525
msfem.Elliptic_MsFEM_Solver.apply_avg_wall_abspart,0.797,0.673,0.451,0.206
msfem.Elliptic_MsFEM_Solver.apply_avg_wall_wallpart,0.797,0.673,0.451,0.206
msfem.Elliptic_MsFEM_Solver.apply_max_usr_threadeff,0.993,0.993,0.993,0.992
msfem.Elliptic_MsFEM_Solver.apply_avg_usr_threadeff,0.992,0.992,0.992,0.991
msfem.coarse.solve_max_usr_speedup,1.0,2.0,1.6,2.0
msfem.coarse.solve_max_usr_parallel_efficiency,1.0,1.0,0.4,0.25
msfem.coarse.solve_max_usr_abspart,0.0,0.0,0.0,0.0
msfem.coarse.solve_max_usr_wallpart,0.0,0.0,0.0,0.0
msfem.coarse.solve_avg_usr_speedup,1.0,2.206,2.07,2.29
msfem.coarse.solve_avg_usr_parallel_efficiency,1.0,1.103,0.5175,0.28625
msfem.coarse.solve_avg_usr_abspart,0.0,0.0,0.0,0.0
msfem.coarse.solve_avg_usr_wallpart,0.0,0.0,0.0,0.0
msfem.coarse.solve_max_sys_speedup,1.0,1.0,0.667,0.667
msfem.coarse.solve_max_sys_parallel_efficiency,1.0,0.5,0.16675,0.083375
msfem.coarse.solve_max_sys_abspart,0.001,0.002,0.001,0.001
msfem.coarse.solve_max_sys_wallpart,0.0,0.0,0.0,0.0
msfem.coarse.solve_avg_sys_speedup,1.0,1.23,0.458,0.493
msfem.coarse.solve_avg_sys_parallel_efficiency,1.0,0.615,0.1145,0.061625
msfem.coarse.solve_avg_sys_abspart,0.0,0.001,0.001,0.001
msfem.coarse.solve_avg_sys_wallpart,0.0,0.0,0.0,0.0
msfem.coarse.solve_max_wall_speedup,1.0,2.118,1.636,2.0
msfem.coarse.solve_max_wall_parallel_efficiency,1.0,1.059,0.409,0.25
msfem.coarse.solve_max_wall_abspart,0.0,0.0,0.0,0.0
msfem.coarse.solve_max_wall_wallpart,0.0,0.0,0.0,0.0
msfem.coarse.solve_avg_wall_speedup,1.0,2.118,1.823,2.004
msfem.coarse.solve_avg_wall_parallel_efficiency,1.0,1.059,0.45575,0.2505
msfem.coarse.solve_avg_wall_abspart,0.0,0.0,0.0,0.0
msfem.coarse.solve_avg_wall_wallpart,0.0,0.0,0.0,0.0
msfem.coarse.solve_max_usr_threadeff,1.111,1.176,1.136,1.111
msfem.coarse.solve_avg_usr_threadeff,0.956,0.918,0.842,0.837
msfem.idFine_max_usr_speedup,1.0,2.01,2.974,5.884
msfem.idFine_max_usr_parallel_efficiency,1.0,1.005,0.7435,0.7355
msfem.idFine_max_usr_abspart,0.017,0.016,0.02,0.015
msfem.idFine_max_usr_wallpart,0.013,0.011,0.01,0.005
msfem.idFine_avg_usr_speedup,1.0,2.001,4.003,8.001
msfem.idFine_avg_usr_parallel_efficiency,1.0,1.0005,1.00075,1.000125
msfem.idFine_avg_usr_abspart,0.014,0.013,0.013,0.012
msfem.idFine_avg_usr_wallpart,0.011,0.009,0.006,0.003
msfem.idFine_max_sys_speedup,1.0,1.333,2.0,2.0
msfem.idFine_max_sys_parallel_efficiency,1.0,0.6665,0.5,0.25
msfem.idFine_max_sys_abspart,0.003,0.003,0.001,0.001
msfem.idFine_max_sys_wallpart,0.0,0.0,0.0,0.0
msfem.idFine_avg_sys_speedup,1.0,2.019,4.015,7.857
msfem.idFine_avg_sys_parallel_efficiency,1.0,1.0095,1.00375,0.982125
msfem.idFine_avg_sys_abspart,0.001,0.001,0.0,0.0
msfem.idFine_avg_sys_wallpart,0.0,0.0,0.0,0.0
msfem.idFine_max_wall_speedup,1.0,2.01,2.974,5.836
msfem.idFine_max_wall_parallel_efficiency,1.0,1.005,0.7435,0.7295
msfem.idFine_max_wall_abspart,0.013,0.011,0.01,0.005
msfem.idFine_max_wall_wallpart,0.013,0.011,0.01,0.005
msfem.idFine_avg_wall_speedup,1.0,2.001,4.004,8.007
msfem.idFine_avg_wall_parallel_efficiency,1.0,1.0005,1.001,1.000875
msfem.idFine_avg_wall_abspart,0.011,0.009,0.006,0.003
msfem.idFine_avg_wall_wallpart,0.011,0.009,0.006,0.003
msfem.idFine_max_usr_threadeff,0.997,0.997,0.997,0.989
msfem.idFine_avg_usr_threadeff,0.996,0.997,0.997,0.997
msfem.setup.grid_max_usr_speedup,1.0,1.148,0.51,0.359
msfem.setup.grid_max_usr_parallel_efficiency,1.0,0.574,0.1275,0.044875
msfem.setup.grid_max_usr_abspart,0.02,0.034,0.14,0.307
msfem.setup.grid_max_usr_wallpart,0.016,0.023,0.071,0.091
msfem.setup.grid_avg_usr_speedup,1.0,1.394,0.548,0.555
msfem.setup.grid_avg_usr_parallel_efficiency,1.0,0.697,0.137,0.069375
msfem.setup.grid_avg_usr_abspart,0.005,0.007,0.035,0.066
msfem.setup.grid_avg_usr_wallpart,0.004,0.005,0.016,0.014
msfem.setup.grid_max_sys_speedup,1.0,1.393,0.556,0.411
msfem.setup.grid_max_sys_parallel_efficiency,1.0,0.6965,0.139,0.051375
msfem.setup.grid_max_sys_abspart,0.792,0.83,0.958,0.985
