,0,1,2,3
msfem.algorithm_max_sys_abspart,1.0,1.0,1.0,1.0
msfem.algorithm_max_sys_wallpart,0.006,0.007,0.005,0.003
msfem.algorithm_avg_sys_speedup,1.0,1.691,2.635,4.745
msfem.algorithm_avg_sys_parallel_efficiency,1.0,0.8455,0.65875,0.593125
msfem.algorithm_avg_sys_abspart,1.0,1.0,1.0,1.0
msfem.algorithm_avg_sys_wallpart,0.005,0.005,0.004,0.002
msfem.algorithm_max_wall_speedup,1.0,1.638,2.115,1.878
msfem.algorithm_max_wall_parallel_efficiency,1.0,0.819,0.52875,0.23475
msfem.algorithm_max_wall_abspart,1.0,1.0,1.0,1.0
msfem.algorithm_max_wall_wallpart,1.0,1.0,1.0,1.0
msfem.algorithm_avg_wall_speedup,1.0,1.639,2.119,1.883
msfem.algorithm_avg_wall_parallel_efficiency,1.0,0.8195,0.52975,0.235375
msfem.algorithm_avg_wall_abspart,1.0,1.0,1.0,1.0
msfem.algorithm_avg_wall_wallpart,1.0,1.0,1.0,1.0
msfem.algorithm_max_usr_threadeff,0.948,0.907,0.698,0.392
msfem.algorithm_avg_usr_threadeff,0.94,0.81,0.637,0.284
msfem.coarse.linearSolver_max_usr_speedup,1.0,1.25,1.25,1.25
msfem.coarse.linearSolver_max_usr_parallel_efficiency,1.0,0.625,0.3125,0.15625
msfem.coarse.linearSolver_max_usr_abspart,0.0,0.0,0.001,0.001
msfem.coarse.linearSolver_max_usr_wallpart,0.0,0.0,0.0,0.0
msfem.coarse.linearSolver_avg_usr_speedup,1.0,1.488,1.484,1.497
msfem.coarse.linearSolver_avg_usr_parallel_efficiency,1.0,0.744,0.371,0.187125
msfem.coarse.linearSolver_avg_usr_abspart,0.0,0.0,0.0,0.001
msfem.coarse.linearSolver_avg_usr_wallpart,0.0,0.0,0.0,0.0
msfem.coarse.linearSolver_max_sys_speedup,1.0,1.0,1.0,1.0
msfem.coarse.linearSolver_max_sys_parallel_efficiency,1.0,0.5,0.25,0.125
msfem.coarse.linearSolver_max_sys_abspart,0.008,0.011,0.018,0.029
msfem.coarse.linearSolver_max_sys_wallpart,0.0,0.0,0.0,0.0
msfem.coarse.linearSolver_avg_sys_speedup,1.0,1.063,1.014,1.03
msfem.coarse.linearSolver_avg_sys_parallel_efficiency,1.0,0.5315,0.2535,0.12875
msfem.coarse.linearSolver_avg_sys_abspart,0.001,0.002,0.003,0.006
msfem.coarse.linearSolver_avg_sys_wallpart,0.0,0.0,0.0,0.0
msfem.coarse.linearSolver_max_wall_speedup,1.0,1.386,1.366,1.386
msfem.coarse.linearSolver_max_wall_parallel_efficiency,1.0,0.693,0.3415,0.17325
msfem.coarse.linearSolver_max_wall_abspart,0.0,0.0,0.0,0.0
msfem.coarse.linearSolver_max_wall_wallpart,0.0,0.0,0.0,0.0
msfem.coarse.linearSolver_avg_wall_speedup,1.0,1.406,1.367,1.386
msfem.coarse.linearSolver_avg_wall_parallel_efficiency,1.0,0.703,0.34175,0.17325
msfem.coarse.linearSolver_avg_wall_abspart,0.0,0.0,0.0,0.0
msfem.coarse.linearSolver_avg_wall_wallpart,0.0,0.0,0.0,0.0
msfem.coarse.linearSolver_max_usr_threadeff,1.031,1.143,1.127,1.143
msfem.coarse.linearSolver_avg_usr_threadeff,0.901,0.851,0.83,0.834
msfem.local.solve_for_all_cells_max_usr_speedup,1.0,1.954,3.31,6.345
msfem.local.solve_for_all_cells_max_usr_parallel_efficiency,1.0,0.977,0.8275,0.793125
msfem.local.solve_for_all_cells_max_usr_abspart,0.374,0.328,0.325,0.268
msfem.local.solve_for_all_cells_max_usr_wallpart,0.355,0.298,0.227,0.105
msfem.local.solve_for_all_cells_avg_usr_speedup,1.0,1.99,3.975,7.94
msfem.local.solve_for_all_cells_avg_usr_parallel_efficiency,1.0,0.995,0.99375,0.9925
msfem.local.solve_for_all_cells_avg_usr_abspart,0.32,0.305,0.251,0.251
msfem.local.solve_for_all_cells_avg_usr_wallpart,0.3,0.247,0.16,0.071
msfem.local.solve_for_all_cells_max_sys_speedup,1.0,1.752,2.949,4.755
msfem.local.solve_for_all_cells_max_sys_parallel_efficiency,1.0,0.876,0.73725,0.594375
msfem.local.solve_for_all_cells_max_sys_abspart,0.886,0.707,0.693,0.7
msfem.local.solve_for_all_cells_max_sys_wallpart,0.005,0.005,0.004,0.002
msfem.local.solve_for_all_cells_avg_sys_speedup,1.0,1.775,3.406,6.206
msfem.local.solve_for_all_cells_avg_sys_parallel_efficiency,1.0,0.8875,0.8515,0.77575
