,0,1,2,3
msfem.algorithm_max_sys_abspart,1.0,1.0,1.0,1.0
msfem.algorithm_max_sys_wallpart,0.006,0.006,0.003,0.002
msfem.algorithm_avg_sys_speedup,1.0,1.751,3.136,3.658
msfem.algorithm_avg_sys_parallel_efficiency,1.0,0.8755,0.784,0.45725
msfem.algorithm_avg_sys_abspart,1.0,1.0,1.0,1.0
msfem.algorithm_avg_sys_wallpart,0.005,0.004,0.002,0.001
msfem.algorithm_max_wall_speedup,1.0,1.349,1.17,0.77
msfem.algorithm_max_wall_parallel_efficiency,1.0,0.6745,0.2925,0.09625
msfem.algorithm_max_wall_abspart,1.0,1.0,1.0,1.0
msfem.algorithm_max_wall_wallpart,1.0,1.0,1.0,1.0
msfem.algorithm_avg_wall_speedup,1.0,1.343,1.167,0.769
msfem.algorithm_avg_wall_parallel_efficiency,1.0,0.6715,0.29175,0.096125
msfem.algorithm_avg_wall_abspart,1.0,1.0,1.0,1.0
msfem.algorithm_avg_wall_wallpart,1.0,1.0,1.0,1.0
msfem.algorithm_max_usr_threadeff,0.845,0.695,0.413,0.276
msfem.algorithm_avg_usr_threadeff,0.804,0.57,0.248,0.132
msfem.Elliptic_MsFEM_Solver.apply_max_usr_speedup,1.0,1.939,3.866,6.221
msfem.Elliptic_MsFEM_Solver.apply_max_usr_parallel_efficiency,1.0,0.9695,0.9665,0.777625
msfem.Elliptic_MsFEM_Solver.apply_max_usr_abspart,0.897,0.759,0.556,0.34
msfem.Elliptic_MsFEM_Solver.apply_max_usr_wallpart,0.758,0.527,0.229,0.094
msfem.Elliptic_MsFEM_Solver.apply_avg_usr_speedup,1.0,1.929,3.888,6.244
msfem.Elliptic_MsFEM_Solver.apply_avg_usr_parallel_efficiency,1.0,0.9645,0.972,0.7805
msfem.Elliptic_MsFEM_Solver.apply_avg_usr_abspart,0.939,0.923,0.915,0.707
msfem.Elliptic_MsFEM_Solver.apply_avg_usr_wallpart,0.755,0.526,0.227,0.093
msfem.Elliptic_MsFEM_Solver.apply_max_sys_speedup,1.0,1.543,2.455,3.375
msfem.Elliptic_MsFEM_Solver.apply_max_sys_parallel_efficiency,1.0,0.7715,0.61375,0.421875
msfem.Elliptic_MsFEM_Solver.apply_max_sys_abspart,0.871,0.814,0.759,0.516
msfem.Elliptic_MsFEM_Solver.apply_max_sys_wallpart,0.005,0.004,0.002,0.001
msfem.Elliptic_MsFEM_Solver.apply_avg_sys_speedup,1.0,1.837,3.551,5.451
msfem.Elliptic_MsFEM_Solver.apply_avg_sys_parallel_efficiency,1.0,0.9185,0.88775,0.681375
msfem.Elliptic_MsFEM_Solver.apply_avg_sys_abspart,0.891,0.849,0.787,0.598
msfem.Elliptic_MsFEM_Solver.apply_avg_sys_wallpart,0.004,0.003,0.001,0.001
msfem.Elliptic_MsFEM_Solver.apply_max_wall_speedup,1.0,1.939,3.861,6.222
msfem.Elliptic_MsFEM_Solver.apply_max_wall_parallel_efficiency,1.0,0.9695,0.96525,0.77775
msfem.Elliptic_MsFEM_Solver.apply_max_wall_abspart,0.764,0.531,0.231,0.095
msfem.Elliptic_MsFEM_Solver.apply_max_wall_wallpart,0.764,0.531,0.231,0.095
msfem.Elliptic_MsFEM_Solver.apply_avg_wall_speedup,1.0,1.928,3.884,6.233
msfem.Elliptic_MsFEM_Solver.apply_avg_wall_parallel_efficiency,1.0,0.964,0.971,0.779125
msfem.Elliptic_MsFEM_Solver.apply_avg_wall_abspart,0.761,0.53,0.229,0.094
msfem.Elliptic_MsFEM_Solver.apply_avg_wall_wallpart,0.761,0.53,0.229,0.094
msfem.Elliptic_MsFEM_Solver.apply_max_usr_threadeff,0.992,0.992,0.991,0.993
msfem.Elliptic_MsFEM_Solver.apply_avg_usr_threadeff,0.992,0.992,0.991,0.99
msfem.coarse.solve_max_usr_speedup,1.0,1.2,1.0,1.0
msfem.coarse.solve_max_usr_parallel_efficiency,1.0,0.6,0.25,0.125
msfem.coarse.solve_max_usr_abspart,0.001,0.001,0.002,0.002
msfem.coarse.solve_max_usr_wallpart,0.001,0.001,0.001,0.0
msfem.coarse.solve_avg_usr_speedup,1.0,1.307,1.253,1.292
msfem.coarse.solve_avg_usr_parallel_efficiency,1.0,0.6535,0.31325,0.1615
msfem.coarse.solve_avg_usr_abspart,0.001,0.001,0.002,0.002
msfem.coarse.solve_avg_usr_wallpart,0.0,0.0,0.0,0.0
msfem.coarse.solve_max_sys_speedup,1.0,1.0,1.0,1.0
msfem.coarse.solve_max_sys_parallel_efficiency,1.0,0.5,0.25,0.125
msfem.coarse.solve_max_sys_abspart,0.032,0.047,0.069,0.065
msfem.coarse.solve_max_sys_wallpart,0.0,0.0,0.0,0.0
msfem.coarse.solve_avg_sys_speedup,1.0,1.114,1.021,0.986
msfem.coarse.solve_avg_sys_parallel_efficiency,1.0,0.557,0.25525,0.12325
msfem.coarse.solve_avg_sys_abspart,0.004,0.007,0.014,0.017
msfem.coarse.solve_avg_sys_wallpart,0.0,0.0,0.0,0.0
msfem.coarse.solve_max_wall_speedup,1.0,1.261,1.16,1.16
msfem.coarse.solve_max_wall_parallel_efficiency,1.0,0.6305,0.29,0.145
msfem.coarse.solve_max_wall_abspart,0.001,0.001,0.001,0.0
msfem.coarse.solve_max_wall_wallpart,0.001,0.001,0.001,0.0
msfem.coarse.solve_avg_wall_speedup,1.0,1.257,1.179,1.158
msfem.coarse.solve_avg_wall_parallel_efficiency,1.0,0.6285,0.29475,0.14475
msfem.coarse.solve_avg_wall_abspart,0.001,0.001,0.001,0.0
msfem.coarse.solve_avg_wall_wallpart,0.001,0.001,0.001,0.0
msfem.coarse.solve_max_usr_threadeff,1.034,1.087,1.2,1.2
msfem.coarse.solve_avg_usr_threadeff,0.848,0.816,0.798,0.76
msfem.local.solve_for_all_cells_max_usr_speedup,1.0,1.907,3.696,6.055
msfem.local.solve_for_all_cells_max_usr_parallel_efficiency,1.0,0.9535,0.924,0.756875
msfem.local.solve_for_all_cells_max_usr_abspart,0.335,0.288,0.217,0.131
msfem.local.solve_for_all_cells_max_usr_wallpart,0.283,0.2,0.09,0.036
msfem.local.solve_for_all_cells_avg_usr_speedup,1.0,2.0,3.998,7.986
msfem.local.solve_for_all_cells_avg_usr_parallel_efficiency,1.0,1.0,0.9995,0.99825
msfem.local.solve_for_all_cells_avg_usr_abspart,0.278,0.263,0.263,0.163
msfem.local.solve_for_all_cells_avg_usr_wallpart,0.223,0.15,0.065,0.022
msfem.local.solve_for_all_cells_max_sys_speedup,1.0,1.633,2.722,3.5
msfem.local.solve_for_all_cells_max_sys_parallel_efficiency,1.0,0.8165,0.6805,0.4375
msfem.local.solve_for_all_cells_max_sys_abspart,0.79,0.698,0.621,0.452
msfem.local.solve_for_all_cells_max_sys_wallpart,0.005,0.004,0.002,0.001
msfem.local.solve_for_all_cells_avg_sys_speedup,1.0,1.935,3.729,7.278
msfem.local.solve_for_all_cells_avg_sys_parallel_efficiency,1.0,0.9675,0.93225,0.90975
msfem.local.solve_for_all_cells_avg_sys_abspart,0.727,0.657,0.611,0.365
msfem.local.solve_for_all_cells_avg_sys_wallpart,0.003,0.002,0.001,0.0
msfem.local.solve_for_all_cells_max_wall_speedup,1.0,1.908,3.707,6.021
msfem.local.solve_for_all_cells_max_wall_parallel_efficiency,1.0,0.954,0.92675,0.752625
msfem.local.solve_for_all_cells_max_wall_abspart,0.288,0.203,0.091,0.037
msfem.local.solve_for_all_cells_max_wall_wallpart,0.288,0.203,0.091,0.037
msfem.local.solve_for_all_cells_avg_wall_speedup,1.0,1.998,3.991,7.965
msfem.local.solve_for_all_cells_avg_wall_parallel_efficiency,1.0,0.999,0.99775,0.995625
msfem.local.solve_for_all_cells_avg_wall_abspart,0.227,0.153,0.066,0.022
msfem.local.solve_for_all_cells_avg_wall_wallpart,0.227,0.153,0.066,0.022
msfem.local.solve_for_all_cells_max_usr_threadeff,0.985,0.985,0.988,0.979
msfem.local.solve_for_all_cells_avg_usr_threadeff,0.983,0.982,0.981,0.98
msfem.idFine_max_usr_speedup,1.0,1.909,4.098,7.636
msfem.idFine_max_usr_parallel_efficiency,1.0,0.9545,1.0245,0.9545
msfem.idFine_max_usr_abspart,0.019,0.016,0.011,0.006
msfem.idFine_max_usr_wallpart,0.016,0.011,0.005,0.002
msfem.idFine_avg_usr_speedup,1.0,2.001,4.005,8.006
msfem.idFine_avg_usr_parallel_efficiency,1.0,1.0005,1.00125,1.00075
msfem.idFine_avg_usr_abspart,0.015,0.014,0.014,0.009
msfem.idFine_avg_usr_wallpart,0.012,0.008,0.003,0.001
msfem.idFine_max_sys_speedup,1.0,1.0,1.0,2.0
