,0,1,2,3
msfem.local.solve_for_all_cells_avg_usr_scaleup,1.0,1.019,0.569,0.569
msfem.local.solve_for_all_cells_avg_usr_abspart,0.223,0.244,0.296,0.23
msfem.local.solve_for_all_cells_avg_usr_wallpart,0.206,0.215,0.266,0.207
msfem.local.solve_for_all_cells_max_sys_scaleup,1.0,1.115,1.036,0.784
msfem.local.solve_for_all_cells_max_sys_abspart,0.707,0.619,0.571,0.587
msfem.local.solve_for_all_cells_max_sys_wallpart,0.006,0.005,0.004,0.004
msfem.local.solve_for_all_cells_avg_sys_scaleup,1.0,1.009,0.756,0.761
msfem.local.solve_for_all_cells_avg_sys_abspart,0.527,0.595,0.751,0.606
msfem.local.solve_for_all_cells_avg_sys_wallpart,0.003,0.003,0.003,0.002
msfem.local.solve_for_all_cells_max_wall_scaleup,1.0,1.118,0.767,0.604
msfem.local.solve_for_all_cells_max_wall_abspart,0.361,0.343,0.349,0.342
msfem.local.solve_for_all_cells_max_wall_wallpart,0.361,0.343,0.349,0.342
msfem.local.solve_for_all_cells_avg_wall_scaleup,1.0,1.019,0.572,0.572
msfem.local.solve_for_all_cells_avg_wall_abspart,0.209,0.219,0.269,0.209
msfem.local.solve_for_all_cells_avg_wall_wallpart,0.209,0.219,0.269,0.209
msfem.local.solve_for_all_cells_max_usr_threadeff,0.982,0.985,0.991,0.99
msfem.local.solve_for_all_cells_avg_usr_threadeff,0.982,0.982,0.988,0.988
remainder,0.1080000000000001,0.14900000000000002,0.1519999999999999,0.14200000000000002
